genes	cluster
ITSN1	1
JAG2	1
JAZF1	1
JCHAIN	2
JMJD6	1
JRK	2
JUN	1
JUND	1
KAT6A	1
KCNG1	2
KCNH3	2
KCNMB4	2
KCP	1
KIAA0895	2
KIAA1143	2
KIF19	1
KIF26A	1
KIR2DL3	1
KIR2DL4	1
KLC3	1
KLF11	1
KLF4	1
KLHDC8A	1
KLHL13	2
KLHL14	2
KLRC2	1
KLRC3	1
KLRD1	1
KRBA2	2
KRT1	1
KRT23	2
KRT4	1
KRTCAP3	2
KYNU	1
L3MBTL4	1
LAG3	1
LAMP1	1
LARGE2	2
LCLAT1	2
LCMT2	2
LCN8	2
LDHD	1
LDLRAD4	2
LEF1	2
LEPROTL1	2
LGALS3	1
LGALS4	1
LHX4	2
LIAS	2
LIF	1
LILRB1	1
LILRB4	1
LILRB5	1
LIMS2	2
LINGO2	1
LMO7	2
LMOD3	2
LRP1	1
LRRC37A3	2
LRRN3	2
LRTOMT	2
LTK	2
LYAR	1
LYSMD1	2
LZTFL1	2
MACC1	2
MAFB	1
MAFF	1
MAGEH1	2
MAP4	1
MAP6	1
MAP6D1	2
MAPK7	1
MBD4	2
MBNL3	1
MCF2L	2
MCOLN1	1
MED15	1
MEST	2
METRNL	1
METTL18	2
METTL25	2
METTL4	2
MEX3A	2
MGAT5	2
MGLL	1
MICAL2	1
MIER2	1
MITF	1
MMP11	2
MMP14	1
MMP28	2
MOCS3	2
MORN1	2
MPIG6B	1
MPP1	1
MREG	2
MRPL55	1
MSS51	2
MST1R	2
MT1E	1
MT1G	1
MT1X	1
MT2A	1
MTA3	2
MTERF4	2
MUC21	1
MXI1	1
MYEF2	2
MYH7B	2
MYO19	1
MYO1G	1
MZB1	2
NAE1	2
NAPB	1
NAT14	2
NBEA	2
NCKIPSD	1
NDRG1	1
NDUFAF3	1
NDUFAF6	2
NEK11	2
NEK5	2
NELL2	2
NFIL3	1
NKAPL	2
NKD1	2
NKG7	1
NKPD1	2
NLRP3	1
NMRK1	2
NNMT	1
NOA1	2
NOG	2
NPAS2	2
NPC2	1
NPRL3	1
NR1H3	1
NR1I3	1
NRCAM	2
NRP2	1
NRROS	1
NT5DC1	2
NT5E	2
NUDC	1
NUGGC	1
NXPE3	2
NXPH4	2
NYNRIN	1
OBSCN	2
OCM	2
OGFOD2	2
OLFML2B	1
OPTN	1
OR51E1	1
OR51E2	1
OSM	1
OTOA	1
OTUD7A	2
OXNAD1	2
P2RX6	2
P2RX7	1
PA2G4	1
PANX1	1
PAPLN	2
PAQR8	2
PARP3	1
PCBP1	1
PCDHGB6	1
PCGF5	1
PCK1	1
PCK2	1
PCYOX1	2
PCYT1B	1
PDCD1LG2	1
PDCD2	2
PDE4A	1
PDE9A	2
PDIA3	1
PDIA4	1
PDIA6	1
PEAR1	1
PEX12	2
PF4	1
PF4V1	1
PGA5	1
PHACTR1	1
PHF8	1
PHKA1	2
PHOSPHO1	1
PIANP	2
PIGA	1
PIGB	2
PIGP	2
PIP4K2A	1
PIP4K2B	2
PKIA	2
PLAU	1
PLAUR	1
PLBD2	1
PLCD4	2
PLCL1	2
PLEK	1
PLEKHG4	2
PLIN2	1
PLOD3	1
PLPP3	1
PLPP6	2
PLXNB2	1
PLXNB3	1
PLXND1	1
PMEPA1	2
PODXL2	2
POMGNT2	1
PON2	1
PPDPF	1
PPP1R15A	1
PPP1R3G	1
PPP2R3A	2
PPWD1	2
PRAME	2
PRAP1	1
PRCD	2
PRSS2	1
PRSS21	1
PSD	2
PSKH1	2
PTCD2	2
PTK7	2
PTPRU	1
PYGM	2
PYGO2	2
QRICH2	2
RAB3A	1
RAB3IL1	1
RAB9A	1
RABGAP1L	1
RALA	2
RALGDS	1
RAP1GAP	1
RAPH1	1
RARRES2	1
RASD1	1
RBM20	2
RBM38	1
RBM4B	2
RBP4	1
RCAN3	2
REG4	2
REPIN1	2
RFLNB	2
RFTN2	2
RGS10	1
RHOB	1
RHOC	1
RHPN1	2
RIC3	2
RIMS3	2
RIOK3	1
RNF170	2
RNF187	1
RNH1	1
ROBO1	2
RORC	2
RPAP3	2
RPN2	1
RPP14	2
RPS4Y1	2
RRAS	1
RRBP1	1
RREB1	1
RTP5	1
RWDD2A	2
S100A10	1
S100A14	1
SAA1	1
SAA2	1
SAFB	1
SALL2	2
SAMD14	1
SAP30L	2
SAYSD1	2
SCYL3	2
SDC2	1
SDC4	1
SDR42E1	2
SDS	1
SEC14L1	1
SEC31A	1
SELENOK	1
SERPIND1	1
SERPING1	1
SETMAR	2
SEZ6L	1
SF3A2	1
SFRP5	2
SGIP1	1
SH3D21	1
SH3RF3	2
SH3TC1	1
SHARPIN	1
SHB	1
SHISA4	1
SHISA7	1
SIGLEC12	1
SKP2	2
SLAMF7	1
SLAMF8	1
SLC15A3	1
SLC25A13	1
SLC25A14	2
SLC25A25	1
SLC25A34	2
SLC25A37	1
SLC25A39	1
SLC25A43	1
SLC2A14	1
SLC2A3	1
SLC2A8	1
SLC34A1	1
SLC35B3	2
SLC35G1	2
SLC38A5	1
SLC39A9	2
SLC43A3	1
SLC4A10	2
SLC5A2	2
SLC6A16	2
SLC6A8	1
SLC7A6	2
SLC9A9	1
SLIT1	2
SMAD9	2
SMIM1	1
SMIM10L2A	2
SNAPC2	1
SNCA	1
SND1	1
SNX24	1
SOBP	2
SOX12	2
SPAG8	2
SPECC1	1
SPEG	2
SPIB	2
SPIRE1	1
SPTB	1
SQSTM1	1
SRRM1	1
SRSF3	1
SRSF4	1
SSBP2	2
SSPN	2
ST6GALNAC4	1
ST7	1
STAP1	2
STAP2	1
STARD4	1
STARD8	1
STAU1	1
STEAP3	1
STK10	1
STMN3	2
STYK1	1
SUMO4	1
SUSD1	1
SUSD3	2
SYTL3	1
TAF11	2
TAF4B	2
TCEANC2	2
TCF7	2
TCFL5	2
TEAD3	1
TEC	1
TERT	2
TEX22	2
TFDP1	1
THEM5	1
THNSL1	2
TIAF1	2
TM9SF4	1
TMEM129	2
TMEM158	1
TMEM169	2
TMEM184C	2
TMEM204	2
TMEM214	1
TMEM216	2
TMEM220	2
TMEM243	2
TMEM38A	2
TMEM39A	1
TMIE	2
TMOD1	1
TMTC2	1
TNFAIP8	2
TNFRSF17	2
TNIP3	1
TNK1	2
TNNT3	2
TNXB	1
TPP1	1
TPRG1	1
TPSAB1	1
TPSB2	1
TRIB1	1
TRIM16L	2
TRIM66	2
TRMT10C	2
TRMT61B	2
TRPM4	1
TSFM	2
TSHR	2
TSPYL4	2
TSSK3	2
TSTA3	1
TTC30B	2
TTN	2
TUBD1	2
UBAP2L	1
UBE2F	1
UBE2V1	1
UBQLN3	1
UBR7	2
UCK1	2
UCP2	1
UNC119B	2
USHBP1	2
USP44	2
VAMP1	2
VCAM1	1
VCAN	1
VEGFA	1
VSIG1	2
VTI1B	1
VTN	1
VWCE	1
WBP2	1
WDR45B	1
WNK1	1
WSB2	2
XCL1	1
XCL2	1
XKRX	2
XPNPEP1	1
YBX1	1
YBX3	1
YIPF5	2
ZBTB3	2
ZC3H10	2
ZCCHC12	2
ZCCHC3	2
ZER1	1
ZFP3	2
ZFP36	1
ZFP62	2
ZFP82	2
ZIK1	2
ZKSCAN5	2
ZNF101	2
ZNF134	2
ZNF135	2
ZNF140	2
ZNF154	2
ZNF174	2
ZNF20	2
ZNF211	2
ZNF229	2
ZNF239	2
ZNF256	2
ZNF268	2
ZNF285	2
ZNF302	2
ZNF329	2
ZNF382	2
ZNF391	2
ZNF416	2
ZNF418	2
ZNF425	2
ZNF439	2
ZNF44	2
ZNF440	2
ZNF442	2
ZNF470	2
ZNF471	2
ZNF491	2
ZNF497	2
ZNF506	2
ZNF512	2
ZNF518B	2
ZNF544	2
ZNF546	2
ZNF551	2
ZNF557	2
ZNF561	2
