genes	cluster
SAMD14	5
SAMD3	2
SAP18	4
SAP30L	6
SAYSD1	6
SCAMP5	17
SCARA3	3
SCARA5	1
SCGB3A1	22
SCIN	14
SCN2B	15
SCN4A	12
SCN7A	14
SCNN1A	1
SCRN3	4
SCYL3	6
SDC1	7
SDC2	5
SDC3	10
SDC4	5
SDF2L1	10
SDHA	2
SDHB	4
SDR42E1	6
SDS	5
SEC11C	8
SEC14L1	5
SEC31A	5
SEC61B	4
SELENOK	5
SELENOP	9
SELP	2
SEMA3B	15
SEMA3F	1
SEMA3G	1
SEMA4C	2
SEMA5A	3
SEMA6A	25
SEMA6C	15
SERINC2	16
SERPINA3	10
SERPINC1	16
SERPIND1	5
SERPINE1	1
SERPINF1	9
SERPING1	5
SERPINH1	2
SERTAD3	10
SETBP1	2
SETMAR	6
SEZ6L	5
SF3A2	5
SFMBT2	2
SFRP1	9
SFRP5	6
SFSWAP	2
SFTPA1	14
SFTPA2	14
SFTPB	1
SFTPC	14
SFTPD	8
SFXN1	2
SGCA	19
SGCB	1
SGCE	9
SGIP1	5
SGPP2	7
SGSM1	2
SH2D1A	2
SH2D1B	2
SH2D2A	2
SH3BGR	19
SH3BP4	9
SH3D19	9
SH3D21	5
SH3PXD2B	10
SH3RF2	9
SH3RF3	6
SH3TC1	5
SHANK3	11
SHARPIN	5
SHB	5
SHE	12
SHISA4	5
SHISA7	5
SHROOM3	1
SIGLEC12	5
SIK1	11
SIX5	1
SKP1	4
SKP2	6
SLA2	2
SLAMF7	5
SLAMF8	5
SLAMF9	2
SLC15A3	5
SLC18B1	13
SLC1A7	2
SLC22A18AS	10
SLC22A3	9
SLC25A13	5
SLC25A14	6
SLC25A25	5
SLC25A34	6
SLC25A37	5
SLC25A39	5
SLC25A4	14
SLC25A43	5
SLC2A14	5
SLC2A3	5
SLC2A5	25
SLC2A6	9
SLC2A8	5
SLC34A1	5
SLC34A2	11
SLC35B3	6
SLC35D2	7
SLC35E4	9
SLC35G1	6
SLC35G2	1
SLC38A5	5
SLC39A14	1
SLC39A8	7
SLC39A9	6
SLC3A2	10
SLC43A3	5
SLC44A1	25
SLC44A3	13
SLC45A3	24
SLC4A10	6
SLC4A11	14
SLC4A4	2
SLC5A2	6
SLC6A16	6
SLC6A4	25
SLC6A8	5
SLC7A2	9
SLC7A6	6
SLC9A3	14
SLC9A9	5
SLCO2A1	9
SLCO2B1	10
SLCO5A1	25
SLFN12L	17
SLIRP	4
SLIT1	6
SLIT3	1
SLN	13
SMAD6	9
SMAD7	2
SMAD9	6
SMARCA1	11
SMARCE1	4
SMIM1	5
SMIM10L2A	6
SMOC2	1
SMPDL3B	3
SMYD1	12
SNAI1	2
SNAPC2	5
SNCA	5
SNCG	13
SND1	5
SNX24	5
SOBP	6
SOD3	9
SOX12	6
SOX13	2
SOX18	9
SOX4	4
SOX7	11
SPA17	19
SPACA9	4
SPAG1	15
SPAG8	6
SPARCL1	13
SPATA33	4
SPATA7	13
SPECC1	5
SPEG	6
SPIB	6
SPINK2	25
SPINK5	2
SPIRE1	5
SPOCK1	12
SPON1	14
SPON2	2
SPP1	2
SPRR3	2
SPRY4	9
SPRYD4	7
SPTA1	16
SPTB	5
SQSTM1	5
SRL	19
SRPK3	4
SRPX	1
SRPX2	1
SRRM1	5
SRSF2	2
SRSF3	5
SRSF4	5
SSBP2	6
SSPN	6
SSTR3	15
ST3GAL6	4
ST6GALNAC1	1
ST6GALNAC4	5
ST7	5
ST8SIA1	9
ST8SIA6	10
STAC3	13
STAG3	25
STAP1	6
STAP2	5
STARD4	5
STARD8	5
STARD9	2
STAT4	2
STAU1	5
STEAP3	5
STIP1	10
STK10	5
STK33	15
STK39	2
STMN3	6
STX1B	15
STYK1	5
SULF1	12
SUMO4	5
SUPV3L1	2
SUSD1	5
SUSD3	6
SUSD4	14
SVBP	13
SVEP1	1
SWI5	4
SYBU	1
SYDE1	12
SYNE2	2
SYNM	17
SYNPO	12
SYNPO2L	12
SYTL2	2
SYTL3	5
TACC2	9
TACSTD2	7
TAF11	6
TAF4B	6
TARM1	25
TATDN3	4
TBCA	4
TBX1	1
TBX2	9
TBX21	2
TCAF1	3
TCAF2	3
TCAP	19
TCEANC2	6
TCF7	6
TCFL5	6
TCN2	10
TCP11L1	16
TEAD1	1
TEAD2	12
TEAD3	5
TEAD4	13
TEC	5
TEFM	4
TERT	6
TESK1	2
TEX22	6
TFB1M	24
TFCP2L1	9
TFDP1	5
TG	12
TGFBR3	2
TGIF1	2
TGM1	12
TGM3	3
TGS1	4
THBS2	1
THEM5	5
THNSL1	6
THOC7	22
THSD4	12
THY1	3
TIAF1	6
TIE1	3
TIGIT	2
TIMMDC1	4
TIMP3	1
TINAGL1	11
TINCR	3
TJP1	11
TJP3	2
TKTL1	2
TLR3	25
TM4SF1	1
TM7SF3	4
TM9SF4	5
TMC5	22
TMCO4	2
TMEM109	2
TMEM129	6
TMEM132A	13
TMEM158	5
TMEM169	6
TMEM184C	6
TMEM200A	17
TMEM204	6
TMEM214	5
TMEM216	6
TMEM220	6
TMEM243	6
TMEM30B	11
TMEM37	10
TMEM38A	6
TMEM39A	5
TMEM47	1
TMEM52B	25
TMEM54	12
TMEM98	9
TMIE	6
TMOD1	5
TMOD4	4
TMTC2	5
TNC	13
TNFAIP8	6
TNFRSF10D	12
TNFRSF17	6
TNFRSF18	10
TNFRSF21	10
TNFSF15	7
TNFSF9	2
TNIK	2
TNIP3	5
TNK1	6
TNNC1	13
TNNC2	13
TNNI1	13
TNNI2	19
TNNT1	12
TNNT3	6
TNS2	9
TNXB	5
TOGARAM2	2
TOP1MT	17
TOX	2
TP63	14
TP73	2
TPBG	14
TPD52L1	13
TPM1	4
TPM2	12
TPO	11
TPP1	5
TPPP3	9
TPRG1	5
TPSAB1	5
TPSB2	5
TRAF3IP1	11
TRAPPC10	2
TRDN	12
TREM2	3
TRIB1	5
TRIM16L	6
TRIM54	12
TRIM63	12
TRIM66	6
TRIM72	19
TRIP10	13
TRMT10C	6
TRMT61B	6
TRPM4	5
TRPV3	2
TRPV4	13
TRPV6	15
TSEN54	2
TSFM	6
TSHR	6
TSKU	9
TSNAXIP1	9
TSPAN6	13
TSPYL2	2
TSPYL4	6
TSSK3	6
TSTA3	5
TTC16	2
TTC30B	6
TTN	6
TTR	16
TUB	11
TUBB2A	2
TUBD1	6
TUSC1	9
TVP23C	2
TXLNB	14
TXNDC5	14
TYRO3	3
UAP1	14
UBAP2L	5
UBC	10
UBE2F	5
UBE2V1	5
UBQLN3	5
UBR7	6
UBXN10	9
UCK1	6
UCP2	5
UCP3	4
UHRF1	25
UNC119B	6
UNC13B	14
UPB1	4
UPK3B	15
UQCRHL	4
USHBP1	6
USP13	14
USP2	12
USP28	17
USP36	2
USP44	6
USP9Y	25
UTP11	4
VAMP1	6
VANGL2	14
VASN	11
VCAM1	5
VCAN	5
VEGFA	5
VGLL3	11
VIT	3
VMO1	9
VSIG1	6
VSTM4	12
VTI1B	5
VTN	5
VWA1	9
VWA5A	13
VWCE	5
VWDE	15
VWF	1
WARS2	7
WASHC2C	16
WBP11	2
WBP2	5
WDR45B	5
WDR53	23
WFDC2	9
WNK1	5
WSB2	6
WSCD2	12
WWC1	14
WWC2	14
WWTR1	1
XBP1	10
XCL1	5
XCL2	5
XIRP1	12
XIRP2	12
XK	7
XKRX	6
XPNPEP1	5
XPNPEP2	2
YAP1	1
YBX1	5
YBX3	5
YES1	2
YIPF5	6
ZBTB16	2
ZBTB3	6
ZBTB42	4
ZBTB7C	9
ZC3H10	6
ZCCHC12	6
ZCCHC3	6
ZCRB1	22
ZDHHC1	13
ZER1	5
ZFAT	10
ZFP3	6
ZFP36	5
ZFP36L1	2
ZFP62	6
ZFP82	6
ZFYVE28	2
ZG16B	9
ZIK1	6
ZKSCAN4	4
ZKSCAN5	6
ZMAT2	4
ZMYND10	15
ZNF101	6
ZNF134	6
ZNF135	6
ZNF140	6
ZNF154	6
ZNF165	12
ZNF174	6
ZNF2	4
ZNF20	6
ZNF211	6
ZNF229	6
ZNF239	6
ZNF256	6
ZNF268	6
ZNF280B	14
ZNF283	4
ZNF285	6
ZNF302	6
ZNF329	6
ZNF330	10
ZNF331	2
ZNF35	24
ZNF365	3
ZNF382	6
ZNF391	6
ZNF416	6
ZNF418	6
ZNF425	6
ZNF426	4
ZNF439	6
ZNF44	6
ZNF440	6
ZNF441	24
ZNF442	6
ZNF443	23
ZNF444	15
ZNF462	11
ZNF470	6
ZNF471	6
ZNF483	2
ZNF491	6
ZNF497	6
ZNF506	6
ZNF512	6
ZNF518B	6
ZNF521	11
ZNF544	6
ZNF546	6
ZNF547	23
ZNF551	6
ZNF557	6
ZNF561	6
ZNF563	24
ZNF564	24
ZNF572	6
ZNF576	4
ZNF577	6
ZNF585A	23
ZNF597	6
ZNF606	6
ZNF607	6
ZNF613	6
ZNF616	4
ZNF662	6
ZNF665	6
ZNF667	6
ZNF671	6
ZNF677	24
ZNF683	2
ZNF69	4
ZNF703	9
ZNF709	6
ZNF737	6
ZNF740	6
ZNF75A	6
ZNF763	6
ZNF765	4
ZNF777	5
ZNF780A	4
ZNF780B	6
ZNF782	6
ZNF789	14
ZNF814	6
ZNF823	6
ZNF835	6
ZNF836	4
ZNF84	6
ZNF844	23
ZNF860	6
ZNF879	4
ZNF888	6
ZSCAN16	6
ZSCAN18	6
ZSCAN26	6
ZSCAN30	6
ZSWIM1	6
