genes	cluster
CHMP4B	16
CHMP7	6
CHN1	3
CHN2	5
CHPF	25
CHPT1	16
CHRDL1	11
CHRNB1	23
CHST12	2
CHURC1	6
CIB2	12
CIDEC	9
CISD2	5
CITED2	5
CIZ1	5
CKB	13
CKM	13
CKMT2	12
CLDN1	3
CLDN11	1
CLDN4	9
CLEC11A	16
CLEC14A	1
CLEC17A	6
CLEC2B	5
CLEC3B	9
CLEC4A	4
CLEC4G	13
CLIC2	13
CLIC3	2
CLIC5	14
CLIC6	9
CLIP3	15
CLIP4	2
CLK3	5
CLMP	12
CLNK	2
CLPB	5
CLSTN1	2
CLSTN2	3
CLTB	13
CLU	5
CLUAP1	6
CMYA5	12
CNDP1	3
CNIH2	6
CNKSR1	14
CNKSR2	6
CNKSR3	9
CNN3	11
CNOT6L	2
CNOT7	6
CNR2	6
CNTNAP3B	7
COA5	4
COBL	11
COCH	6
COL11A2	6
COL12A1	11
COL14A1	13
COL16A1	9
COL1A1	1
COL1A2	1
COL27A1	6
COL3A1	1
COL4A1	11
COL4A2	1
COL4A3	14
COL4A4	14
COL5A2	11
COL6A1	1
COL6A3	9
COL8A1	3
COL9A3	6
COLEC12	9
COLGALT2	2
COLQ	17
COMP	3
COMT	5
COPZ2	5
COQ3	6
COQ8A	15
COQ9	4
CORO6	19
COX6A2	13
COX7A1	13
CP	9
CPB1	1
CPE	1
CPEB1	6
CPED1	1
CPLX1	19
CPLX3	15
CPM	5
CPNE3	25
CPNE5	2
CPS1	5
CPXM2	12
CR2	6
CRABP2	15
CREB3L1	9
CREB3L3	10
CRELD2	5
CRIM1	1
CRIP2	1
CRIP3	6
CRIPT	19
CRISP2	25
CRISP3	25
CRMP1	3
CROCC2	3
CRP	5
CRYAB	13
CRYL1	5
CRYM	14
CRYZL1	24
CSDC2	1
CSF1R	10
CSRNP1	5
CSRP2	13
CSRP3	12
CSTB	10
CSTF3	6
CTNNA1	5
CTRL	6
CTSB	9
CTSE	5
CTSG	7
CTSK	6
CTSW	5
CTTNBP2NL	5
CUBN	6
CUL4A	5
CUZD1	14
CWC15	4
CX3CL1	12
CXCL1	5
CXCL10	7
CXCL12	5
CXCL2	9
CXCL3	9
CXCL6	9
CXCL8	5
CXCR4	2
CXorf56	6
CYB561A3	6
CYB561D1	6
CYB5A	5
CYB5R2	10
CYB5R3	5
CYCS	5
CYFIP1	5
CYP17A1	12
CYP1A1	12
CYP26B1	11
CYP27B1	6
CYP2C8	5
CYP2E1	7
CYP2U1	6
CYP4B1	11
CYP4F22	5
CYSLTR1	6
CYTIP	5
DAB2	10
DAZAP1	5
DBI	4
DBNDD1	6
DCBLD2	6
DCHS1	6
DCLK1	3
DCN	9
DDAH1	9
DDIAS	4
DDIT3	5
DDIT4	5
DDN	12
DDO	5
DDR1	6
DDR2	1
DDX24	2
DDX27	5
DDX3Y	25
DDX54	2
DEFA1	7
DEFA1B	7
DEFA3	7
DEFA4	22
DEFB1	2
DENND2A	13
DEPTOR	17
DERL3	6
DES	13
DGKK	2
DHCR7	5
DHFR	4
DHFR2	4
DHRS3	2
DIP2A	2
DISC1	5
DIXDC1	6
DKK3	3
DLG3	2
DLG5	2
DLGAP3	5
DLK1	14
DNAH2	9
DNAH6	6
DNAH7	3
DNAI2	3
DNAJB1	2
DNAJC5B	3
DNAL4	6
DNMBP	2
DOCK2	5
DOK2	5
DPEP2	6
DPEP3	6
DPP9	2
DPPA4	25
DPT	13
DPYSL3	1
DRAXIN	5
DSEL	6
DSG2	11
DSN1	6
DTHD1	2
DTX4	6
DUOX1	14
DUSP1	5
DUSP10	5
DUSP15	5
DUSP2	2
DUSP26	13
DUSP28	6
DUSP4	2
DUSP5	2
DUSP8	2
DYNC1I1	9
DYNC2LI1	19
DYNLL1	10
EAF1	5
EBI3	10
ECD	5
ECHS1	5
ECM1	5
ECSCR	13
EDA	3
EDARADD	3
EDN1	13
EDRF1	6
EEF1A2	13
EFCAB5	6
EFEMP1	3
EFHB	12
EFHC1	6
EFHD1	9
EFNA4	6
EFNA5	2
EFNB1	9
EFNB2	11
EFS	13
EGF	5
EGFR	1
EGR1	9
EGR2	2
EGR3	2
EHD2	3
EIF1	5
EIF1AY	22
EIF3B	5
EIF3J	9
EIF4A3	5
EIF4G1	5
ELANE	7
ELF3	19
ELL3	6
ELMOD2	4
ELN	1
ELOVL4	6
EMC1	2
EMCN	11
EMD	5
EMILIN2	10
EML1	11
EMP1	9
EMP2	9
EMP3	5
ENAH	11
ENDOD1	5
ENDOV	6
ENO1	5
ENO3	6
ENPP2	9
ENPP3	9
ENPP5	17
EOMES	5
EPB41L1	3
EPB41L3	10
EPB41L4A	5
EPHA2	3
EPHB6	15
EPPK1	12
EPS8	5
EPS8L1	1
ERBB2	2
ERG	25
ERP27	6
ERRFI1	5
ESPN	5
ESPNL	6
ETNK2	2
EVA1C	2
EVC	8
EVC2	5
EWSR1	5
EXOSC3	23
EXT2	2
EZR	2
F2R	2
F3	9
FA2H	6
FABP1	5
FABP3	13
FAHD1	5
FAM102A	6
FAM107A	12
FAM110C	9
FAM111B	6
FAM161A	14
FAM166B	13
FAM167B	22
