,B_c01-TCL1A,B_c02-MS4A1-CD27,B_c03-CD27-AIM2,B_c04-SOX5-TNFRSF1B,B_c05-MZB1-XBP1,B_c06-MKI67,DC_c1-CLEC9A,DC_c2-CD1C,DC_c3-LAMP3,DC_c4-LILRA4,Epi-AT2,Epi-Ciliated,Epi-Secretory,Epi-Squamous,Macro_c1-C1QC,Macro_c2-CCL3L1,Macro_c3-EREG,Macro_c4-DNAJB1,Macro_c5-WDR74,Macro_c6-VCAN,Mast,Mega,Mono_c1-CD14-CCL3,Mono_c2-CD14-HLA-DPB1,Mono_c3-CD14-VCAN,Mono_c4-CD14-CD16,Mono_c5-CD16,Neu_c1-IL1B,Neu_c2-CXCR4(low),Neu_c3-CST7,Neu_c4-RSAD2,Neu_c5-GSTP1(high)OASL(low),Neu_c6-FGF23,NK_c01-FCGR3A,NK_c02-NCAM1,NK_c03-MKI67,T_CD4_c01-LEF1,T_CD4_c02-AQP3,T_CD4_c03-ITGA4,T_CD4_c04-ANXA2,T_CD4_c05-FOS,T_CD4_c06-NR4A2,T_CD4_c07-AHNAK,T_CD4_c08-GZMK-FOS_h,T_CD4_c09-GZMK-FOS_l,T_CD4_c10-IFNG,T_CD4_c11-GNLY,T_CD4_c12-FOXP3,T_CD4_c13-MKI67-CCL5_l,T_CD4_c14-MKI67-CCL5_h,T_CD8_c01-LEF1,T_CD8_c02-GPR183,T_CD8_c03-GZMK,T_CD8_c04-COTL1,T_CD8_c05-ZNF683,T_CD8_c06-TNF,T_CD8_c07-TYROBP,T_CD8_c08-IL2RB,T_CD8_c09-SLC4A10,T_CD8_c10-MKI67-GZMK,T_CD8_c11-MKI67-FOS,T_CD8_c12-MKI67-TYROBP,T_CD8_c13-HAVCR2,T_gdT_c14-TRDV2
ZNF546,116,50,44,10,10,1,1,29,0,10,0,0,0,0,1,0,0,0,3,0,0,5,81,187,315,31,53,2,0,0,0,1,0,99,3,1,149,19,29,24,26,20,26,6,13,0,23,24,6,0,127,27,78,20,91,18,71,42,34,3,0,1,2,32
ZNF551,108,59,35,9,9,0,0,23,0,11,0,0,0,0,1,0,0,0,3,0,0,2,32,100,126,27,37,3,0,0,0,0,0,75,3,4,169,34,28,31,29,22,20,9,13,1,14,13,1,0,160,34,44,24,46,11,53,45,36,5,1,1,4,21
ZNF557,289,135,86,23,29,4,1,80,0,35,0,0,0,0,1,3,0,0,11,0,0,18,159,542,937,97,142,4,0,0,0,0,0,275,1,9,390,77,64,75,72,76,60,22,49,1,65,59,17,1,330,90,179,81,269,56,325,153,117,23,4,19,5,108
ZNF561,191,87,78,21,20,2,1,58,0,21,0,0,0,0,0,0,0,0,7,0,0,3,84,430,536,70,139,3,1,0,0,0,0,189,5,4,309,67,50,63,62,69,63,24,47,0,44,56,12,1,246,72,155,64,201,36,220,115,104,20,0,6,6,86
ZNF572,10,3,3,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0,0,0,0,0,0,0,0,7,0,0,17,2,0,1,0,0,1,0,1,0,1,0,0,0,16,1,4,1,2,1,8,4,3,0,0,0,0,2
ZNF577,134,43,44,13,8,1,3,32,0,16,0,0,0,0,0,1,0,0,6,0,0,11,46,223,235,54,67,0,0,0,0,0,0,91,3,1,118,16,25,25,23,22,25,6,16,0,12,4,2,0,93,35,46,25,55,10,63,49,54,7,1,2,1,31
ZNF597,57,24,16,1,3,0,0,16,0,4,0,0,0,0,0,3,0,0,0,0,0,2,15,87,101,18,26,0,0,0,0,0,0,52,3,1,95,13,18,26,22,10,16,7,11,0,17,16,0,0,77,29,46,18,53,9,75,30,41,7,0,3,2,26
ZNF606,475,154,70,24,19,0,1,28,0,30,0,0,0,0,1,1,0,0,1,0,0,18,21,107,169,29,44,0,0,0,0,0,0,219,4,6,350,50,51,50,54,40,42,16,28,0,17,41,8,1,274,74,98,38,86,23,154,127,59,14,3,6,4,54
ZNF607,42,28,19,1,5,0,1,5,0,3,0,0,0,0,0,0,0,0,2,0,0,3,8,18,33,6,10,0,0,0,0,0,0,34,1,0,63,13,18,23,8,12,12,2,7,0,15,7,1,0,58,23,38,10,29,12,43,41,11,0,0,2,1,13
ZNF613,31,14,21,1,5,4,1,14,0,2,0,0,0,0,0,0,0,0,2,0,0,6,8,59,65,11,19,0,0,0,0,0,0,62,2,2,35,9,5,13,8,10,9,3,9,0,11,6,4,0,36,8,43,14,43,12,57,35,15,6,1,3,2,17
ZNF662,84,54,43,9,11,2,1,25,0,14,0,0,0,0,1,2,0,0,0,0,0,2,82,215,298,41,60,2,0,0,0,1,0,87,3,1,127,16,16,19,29,21,19,9,20,0,21,15,3,0,131,36,73,21,78,19,110,47,41,7,0,9,4,34
ZNF665,258,74,47,14,8,1,1,19,0,15,0,0,0,0,0,0,0,0,5,0,0,8,32,148,195,25,32,1,0,0,0,0,0,131,5,4,197,31,36,43,36,43,24,15,19,1,29,21,8,1,187,48,96,46,90,30,149,96,53,8,0,7,4,41
ZNF667,193,70,21,2,1,0,0,12,0,6,0,0,0,0,0,1,0,0,3,0,0,5,45,124,212,20,33,2,0,0,0,0,0,32,1,1,56,6,6,8,9,10,5,1,6,0,4,9,1,0,95,15,26,8,33,4,27,14,12,5,0,0,0,11
