,B_c01-TCL1A,B_c02-MS4A1-CD27,B_c03-CD27-AIM2,B_c04-SOX5-TNFRSF1B,B_c05-MZB1-XBP1,B_c06-MKI67,DC_c1-CLEC9A,DC_c2-CD1C,DC_c3-LAMP3,DC_c4-LILRA4,Epi-AT2,Epi-Ciliated,Epi-Secretory,Epi-Squamous,Macro_c1-C1QC,Macro_c2-CCL3L1,Macro_c3-EREG,Macro_c4-DNAJB1,Macro_c5-WDR74,Macro_c6-VCAN,Mast,Mega,Mono_c1-CD14-CCL3,Mono_c2-CD14-HLA-DPB1,Mono_c3-CD14-VCAN,Mono_c4-CD14-CD16,Mono_c5-CD16,Neu_c1-IL1B,Neu_c2-CXCR4(low),Neu_c3-CST7,Neu_c4-RSAD2,Neu_c5-GSTP1(high)OASL(low),Neu_c6-FGF23,NK_c01-FCGR3A,NK_c02-NCAM1,NK_c03-MKI67,T_CD4_c01-LEF1,T_CD4_c02-AQP3,T_CD4_c03-ITGA4,T_CD4_c04-ANXA2,T_CD4_c05-FOS,T_CD4_c06-NR4A2,T_CD4_c07-AHNAK,T_CD4_c08-GZMK-FOS_h,T_CD4_c09-GZMK-FOS_l,T_CD4_c10-IFNG,T_CD4_c11-GNLY,T_CD4_c12-FOXP3,T_CD4_c13-MKI67-CCL5_l,T_CD4_c14-MKI67-CCL5_h,T_CD8_c01-LEF1,T_CD8_c02-GPR183,T_CD8_c03-GZMK,T_CD8_c04-COTL1,T_CD8_c05-ZNF683,T_CD8_c06-TNF,T_CD8_c07-TYROBP,T_CD8_c08-IL2RB,T_CD8_c09-SLC4A10,T_CD8_c10-MKI67-GZMK,T_CD8_c11-MKI67-FOS,T_CD8_c12-MKI67-TYROBP,T_CD8_c13-HAVCR2,T_gdT_c14-TRDV2
DSN1,205,66,81,19,195,53,2,16,0,11,0,0,0,0,1,0,0,0,0,0,0,6,75,282,411,48,72,2,0,0,0,0,0,118,0,24,220,41,39,34,51,56,38,2,10,0,16,55,91,3,84,23,67,19,75,15,58,61,15,318,24,34,8,15
DTX4,102,18,10,5,2,2,0,5,0,4,0,0,0,0,0,1,0,0,1,0,0,1,50,211,443,30,30,1,0,0,0,0,0,2,0,0,4,0,1,1,0,2,0,0,0,0,0,0,1,0,2,0,3,0,3,2,3,1,1,1,0,0,0,0
DUSP1,5045,1419,1049,331,464,39,10,421,0,46,0,0,0,0,25,32,0,0,4,0,0,171,2276,11256,19891,1277,2196,46,1,0,0,3,0,3040,37,35,3487,855,726,1285,1154,1137,1056,210,279,4,327,835,137,2,1435,906,1307,432,1364,459,1766,1141,481,395,27,70,33,521
DUSP10,169,56,31,9,22,5,2,22,0,1,0,0,0,0,0,6,0,0,0,0,0,9,183,474,655,49,69,2,0,0,0,0,0,291,3,10,217,51,78,87,73,136,106,17,26,1,35,139,39,2,94,75,184,66,193,102,251,167,34,133,8,13,7,40
DUSP15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUSP28,357,104,137,37,166,25,2,50,0,13,0,0,0,0,3,5,0,0,0,0,0,111,234,838,1454,125,199,7,0,0,0,0,0,413,1,9,540,98,91,138,108,115,98,24,35,0,47,128,64,1,173,71,172,79,192,49,224,127,34,251,15,25,10,43
EAF1,208,79,85,21,72,10,1,87,0,9,0,0,0,0,6,14,0,0,0,0,0,45,766,2211,4399,187,256,11,0,0,0,1,0,363,4,13,360,89,91,95,104,138,79,13,30,0,47,99,46,1,158,63,133,56,191,52,244,115,34,138,8,16,9,33
ECD,610,189,184,63,135,15,0,74,0,17,0,0,0,0,1,6,0,0,2,0,0,46,296,1047,1536,144,231,4,0,0,0,0,0,618,5,20,851,174,159,250,146,203,146,34,65,2,66,212,72,2,290,129,319,116,350,80,369,252,72,299,20,23,28,67
ECHS1,796,273,337,100,572,75,6,173,0,18,0,0,0,0,7,8,0,0,1,0,0,31,609,2673,3814,431,531,10,0,0,0,0,0,627,8,28,968,237,190,355,158,169,174,45,73,0,99,266,158,2,357,161,429,131,398,72,370,236,107,577,34,48,34,96
ECM1,8,1,3,0,4,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,37,5,47,48,6,4,0,0,0,0,0,0,7,0,0,6,0,1,3,2,3,0,0,2,0,1,1,1,0,2,3,4,0,1,1,3,4,1,5,0,1,0,0
