,B_c01-TCL1A,B_c02-MS4A1-CD27,B_c03-CD27-AIM2,B_c04-SOX5-TNFRSF1B,B_c05-MZB1-XBP1,B_c06-MKI67,DC_c1-CLEC9A,DC_c2-CD1C,DC_c3-LAMP3,DC_c4-LILRA4,Epi-AT2,Epi-Ciliated,Epi-Secretory,Epi-Squamous,Macro_c1-C1QC,Macro_c2-CCL3L1,Macro_c3-EREG,Macro_c4-DNAJB1,Macro_c5-WDR74,Macro_c6-VCAN,Mast,Mega,Mono_c1-CD14-CCL3,Mono_c2-CD14-HLA-DPB1,Mono_c3-CD14-VCAN,Mono_c4-CD14-CD16,Mono_c5-CD16,Neu_c1-IL1B,Neu_c2-CXCR4(low),Neu_c3-CST7,Neu_c4-RSAD2,Neu_c5-GSTP1(high)OASL(low),Neu_c6-FGF23,NK_c01-FCGR3A,NK_c02-NCAM1,NK_c03-MKI67,T_CD4_c01-LEF1,T_CD4_c02-AQP3,T_CD4_c03-ITGA4,T_CD4_c04-ANXA2,T_CD4_c05-FOS,T_CD4_c06-NR4A2,T_CD4_c07-AHNAK,T_CD4_c08-GZMK-FOS_h,T_CD4_c09-GZMK-FOS_l,T_CD4_c10-IFNG,T_CD4_c11-GNLY,T_CD4_c12-FOXP3,T_CD4_c13-MKI67-CCL5_l,T_CD4_c14-MKI67-CCL5_h,T_CD8_c01-LEF1,T_CD8_c02-GPR183,T_CD8_c03-GZMK,T_CD8_c04-COTL1,T_CD8_c05-ZNF683,T_CD8_c06-TNF,T_CD8_c07-TYROBP,T_CD8_c08-IL2RB,T_CD8_c09-SLC4A10,T_CD8_c10-MKI67-GZMK,T_CD8_c11-MKI67-FOS,T_CD8_c12-MKI67-TYROBP,T_CD8_c13-HAVCR2,T_gdT_c14-TRDV2
GLUL,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
GNG7,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
GNMT,2259,1013,840,195,81,8,33,518,0,146,0,0,0,0,3,7,0,0,0,0,0,282,1265,2471,4192,259,1520,8,2,12,0,2,0,4077,89,17,5993,896,451,1013,816,912,987,414,553,18,821,517,33,2,4875,1432,2407,1234,3910,844,3842,2689,1648,229,3,36,51,1795
GOLPH3L,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
GPR157,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
GPR61,269,73,83,13,2,2,4,75,0,15,0,0,0,0,1,4,0,0,0,0,0,26,425,659,829,54,147,2,2,0,0,2,0,114,4,2,357,78,50,80,147,181,192,39,19,0,14,58,2,0,227,129,110,21,109,26,345,103,25,4,0,1,4,10
GPR83,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
GPX4,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
GRAP,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
GRPEL2,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
