,B_c01-TCL1A,B_c02-MS4A1-CD27,B_c03-CD27-AIM2,B_c04-SOX5-TNFRSF1B,B_c05-MZB1-XBP1,B_c06-MKI67,DC_c1-CLEC9A,DC_c2-CD1C,DC_c3-LAMP3,DC_c4-LILRA4,Epi-AT2,Epi-Ciliated,Epi-Secretory,Epi-Squamous,Macro_c1-C1QC,Macro_c2-CCL3L1,Macro_c3-EREG,Macro_c4-DNAJB1,Macro_c5-WDR74,Macro_c6-VCAN,Mast,Mega,Mono_c1-CD14-CCL3,Mono_c2-CD14-HLA-DPB1,Mono_c3-CD14-VCAN,Mono_c4-CD14-CD16,Mono_c5-CD16,Neu_c1-IL1B,Neu_c2-CXCR4(low),Neu_c3-CST7,Neu_c4-RSAD2,Neu_c5-GSTP1(high)OASL(low),Neu_c6-FGF23,NK_c01-FCGR3A,NK_c02-NCAM1,NK_c03-MKI67,T_CD4_c01-LEF1,T_CD4_c02-AQP3,T_CD4_c03-ITGA4,T_CD4_c04-ANXA2,T_CD4_c05-FOS,T_CD4_c06-NR4A2,T_CD4_c07-AHNAK,T_CD4_c08-GZMK-FOS_h,T_CD4_c09-GZMK-FOS_l,T_CD4_c10-IFNG,T_CD4_c11-GNLY,T_CD4_c12-FOXP3,T_CD4_c13-MKI67-CCL5_l,T_CD4_c14-MKI67-CCL5_h,T_CD8_c01-LEF1,T_CD8_c02-GPR183,T_CD8_c03-GZMK,T_CD8_c04-COTL1,T_CD8_c05-ZNF683,T_CD8_c06-TNF,T_CD8_c07-TYROBP,T_CD8_c08-IL2RB,T_CD8_c09-SLC4A10,T_CD8_c10-MKI67-GZMK,T_CD8_c11-MKI67-FOS,T_CD8_c12-MKI67-TYROBP,T_CD8_c13-HAVCR2,T_gdT_c14-TRDV2
NRROS,342,421,300,134,13,1,37,552,0,38,0,0,0,0,3,2,0,0,0,0,0,43,618,1636,1780,216,860,1,0,1,0,4,0,699,11,6,200,82,37,86,45,57,72,15,52,1,129,61,9,2,67,61,111,81,442,80,616,418,46,33,1,13,11,147
NT5DC1,384,276,265,40,34,2,21,205,0,25,0,0,0,0,1,0,0,0,0,0,0,16,200,500,599,54,240,1,0,1,0,1,0,384,15,4,1150,207,114,258,195,184,241,90,141,2,165,122,12,1,1023,279,368,123,533,111,472,275,266,59,0,15,10,240
NT5E,622,135,249,17,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,10,11,1,6,0,0,0,0,0,0,23,1,0,111,13,16,44,22,22,54,19,15,0,4,5,0,0,1289,177,66,9,55,20,27,29,28,2,0,0,0,57
NUDC,726,349,373,72,47,4,26,444,0,81,0,0,0,0,3,3,0,0,0,0,0,36,545,1261,1658,166,873,2,0,1,0,3,0,1424,31,10,1858,366,178,433,316,355,427,144,276,5,373,205,25,3,1809,539,855,426,1457,275,1489,1039,517,104,2,39,30,573
NUGGC,30,37,78,3,30,1,2,28,0,4,0,0,0,0,0,1,0,0,0,0,0,3,42,77,134,9,69,1,0,0,0,0,0,73,0,1,64,15,11,38,12,19,36,9,31,1,42,18,1,0,47,47,116,21,108,39,122,46,51,16,0,1,2,96
NXPE3,168,104,97,18,46,3,7,129,0,25,0,0,0,0,0,1,0,0,0,0,0,13,218,483,752,60,330,1,0,1,0,0,0,304,9,3,778,111,87,126,136,133,138,38,73,2,109,76,7,0,704,168,233,112,418,87,392,188,122,36,0,5,11,155
NXPH4,4,15,12,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,3,0,2,2,0,1,2,1,0,0,0,2
NYNRIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OBSCN,34,24,10,9,2,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,1,14,19,29,1,12,0,0,0,0,0,0,58,1,0,412,36,28,31,55,56,43,15,12,0,12,9,0,1,293,69,44,8,63,9,27,31,26,4,0,0,2,29
OCM,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
