Mixture	NK cells	Monocytes	NKT cells	B cells	T cells CD4	T cells CD8	Dendritic cells	Megakaryocytes
GTEX-12WSH	0.18440632	0.47990782	0.024612617	0.108460415	0.067793992	0.116289522	0	0.018529314
GTEX-12WSI	0.087627402	0.22722304	0.132516024	0.159897428	0	0.371405532	0.008467134	0.01286344
GTEX-12WSJ	0.046660607	0.789470432	0	0.057054227	0.095914272	0	0	0.010900463
GTEX-12WSK	0.051276725	0.675356238	0	0.100564296	0.140445898	0	0	0.032356844
GTEX-12WSL	0.078433121	0.697180818	0	0.043133163	0.158581993	0	0	0.022670905
GTEX-12WSM	0.154024911	0.564311237	0	0.076822267	0.092688195	0.086764903	0	0.025388487
GTEX-12WSN	0.077366295	0.713203682	0	0.038112134	0.157779568	0	0	0.013538321
GTEX-12ZZW	0.105890013	0.554045942	0.003838978	0.074204153	0.021289117	0.202820829	0	0.037910968
GTEX-12ZZX	0.081907918	0.14493278	0.073094728	0.215665275	0	0.448668349	0.016290589	0.019440362
GTEX-13111	0.049595234	0.748522258	0	0.053405997	0.133878965	0	0	0.014597545
GTEX-13113	0.049661597	0.734408186	0	0.010069149	0.170816506	0	0	0.035044563
GTEX-1313W	0.052537606	0.343576273	0.051627006	0.110057435	0.153981798	0.248023235	0.014976871	0.025219776
GTEX-1314G	0.055477112	0.461262068	0.014203242	0.035955508	0.13454107	0.12979667	0.042834232	0.125930098
GTEX-131XE	0.065785102	0.585166249	0	0.046827808	0.229040093	0.01610132	0	0.057079429
GTEX-131XF	0.083892902	0.582553825	0	0.084859349	0.223010158	0	0	0.025683767
GTEX-131XG	0.0394953	0.64020675	0	0.215658772	0.098279948	0	0	0.006359229
GTEX-131XH	0.208369168	0.30075979	0	0.181228043	0.007911461	0.258923842	0	0.042807696
GTEX-131XW	0.129882065	0.415904648	0.029847727	0.150296005	0	0.2424784	0	0.031591155
GTEX-131YS	0.107232277	0.005702879	0.029760197	0.199990584	0.044927389	0.446376655	0.161389493	0.004620526
GTEX-132AR	0.073200996	0.60969044	0	0.051387463	0.197326667	0	0	0.068394434
GTEX-132NY	0.14823442	0.439874371	0.007168305	0.118190603	0.11018785	0.163532042	0	0.012812408
GTEX-132Q8	0.203048599	0.361019555	0	0.067123672	0.336908335	0	0	0.031899839
GTEX-132QS	0.052789826	0.810282912	0	0.033575135	0.083962603	0	0	0.019389523
GTEX-1339X	0.030289999	0.732077411	0.002047375	0.193144549	0	0.014492067	0	0.0279486
GTEX-1399R	0.031495307	0.453152433	0	0.152822795	0.313180212	0.035414641	0	0.013934611
GTEX-1399S	0.078699537	0.625117683	0	0.043687675	0.209938765	0	0	0.04255634
GTEX-1399U	0.08950397	0.66860405	0	0.058281834	0.15835483	0	0	0.025255316
GTEX-139D8	0.126693873	0.560744044	0.082631767	0.122909676	0.026373022	0.066551948	0	0.014095668
GTEX-139T6	0.059366479	0.760123454	0	0.02682436	0.124887909	0	0	0.028797798
GTEX-139T8	0.200298104	0.4473219	0	0.092209456	0.226101006	0	0.02030498	0.013764553
GTEX-139TS	0.110389973	0.562662052	0	0.031674511	0.214798281	0.021997618	0.018569193	0.039908371
GTEX-139TT	0.183956554	0.153887662	0.041265529	0.226247607	0.008643757	0.344798816	0.023342585	0.01785749
GTEX-139TU	0.037364226	0.402510826	0.110348558	0.096049061	0.020562024	0.321315339	0	0.011849966
GTEX-139UW	0.097523008	0.521525653	0	0.152113702	0.09860179	0.077074518	0.027364739	0.025796591
GTEX-13CF2	0.092152052	0.231791055	0.013529304	0.337156507	0.008133772	0.295022718	0	0.022214592
GTEX-13CF3	0.117166781	0.641759	0	0.028256101	0.157061363	0	0	0.055756755
GTEX-13CIG	0.09055923	0.645234326	0.011220713	0.084190237	0.116073467	0.031903271	0	0.020818756
GTEX-13CZU	0.054737079	0.751934436	0	0.053721549	0.125567992	0	0	0.014038945
GTEX-13FTW	0.070939212	0.709829626	0	0.051039415	0.16360749	0	0	0.004584257
GTEX-13FTX	0.0660128	0.528923622	0	0.101712157	0.203905699	0	0	0.099445723
GTEX-13FTY	0.108366028	0.111199425	0.037103069	0.191065509	0.151484871	0.25777183	0.124540519	0.018468749
GTEX-13FTZ	0.063813225	0.251695895	0.068498562	0.177036465	0.093465941	0.319890392	0.008254847	0.017344672
GTEX-13FXS	0.114569945	0.163899172	0.068861473	0.192127504	0.011645062	0.390775927	0.030367869	0.027753049
GTEX-13G51	0.141461221	0.132447639	0.034787397	0.192546017	0.134330907	0.322113035	0.021719923	0.020593861
GTEX-13JUV	0.151828105	0.39353685	0.001572466	0.201262169	0.010578618	0.105663426	0.110204098	0.025354268
GTEX-13O61	0.063775418	0.771367702	0	0.030000517	0.12633988	0	0	0.008516483
GTEX-13OVG	0.062505146	0.719979723	0	0.075867215	0.121252976	0	0	0.020394941
GTEX-13OVH	0.0900864	0.551471732	0	0.151942634	0.099918621	0.065767802	0	0.040812811
GTEX-13OVI	0.054140145	0.732718094	0	0.030945496	0.168572015	0	0	0.013624249
GTEX-13OVJ	0.105398837	0.654028614	0	0.053068224	0.125725088	0.006730761	0	0.055048476
GTEX-13OVK	0.034390417	0.574762136	0	0.188454118	0.145507623	0	0	0.056885705
GTEX-13OVL	0.063288546	0.264786065	0.092751174	0.138132557	0	0.404518669	0.001944443	0.034578546
GTEX-13OW6	0.136241261	0.20932883	0.072966802	0.192817847	0.003048998	0.310137894	0.06697477	0.008483598
GTEX-13OW8	0.166388724	0.280380156	0.024233145	0.133088701	0.273425383	0	0.062626437	0.059857455
GTEX-13PL7	0.094651427	0.537247657	0	0.070587056	0.254799775	0	0	0.042714086
GTEX-13PLJ	0.147668896	0.283768078	0.069286197	0.189300234	0.000260247	0.26206176	0.022079969	0.02557462
GTEX-13S7M	0.133017639	0.623100007	0.040873575	0.073263515	0.061106426	0.048695776	0	0.019943063
GTEX-13S86	0.084934062	0.588426323	0	0.031137816	0.257804375	0	0	0.037697423
GTEX-13SLX	0.049859763	0.199291729	0.117809041	0.144352725	0	0.47056282	0.00521741	0.012906511
GTEX-13U4I	0.049034273	0.591529922	0.002831829	0.101431717	0.21875813	0.014305291	0	0.022108839
GTEX-13VXT	0.07858833	0.681964332	0	0.032841062	0.194728527	0	0	0.011877748
GTEX-13VXU	0.09054474	0.244034192	0.106123227	0.111754824	0	0.420048753	0	0.027494264
GTEX-13W3W	0.092283348	0.697800047	0	0.022655259	0.177983123	0	0	0.009278223
GTEX-1477Z	0.093281799	0.424956472	0.018162083	0.235956171	0.082746195	0.07579175	0	0.069105529
GTEX-147F3	0.06783135	0.701258122	0	0.035978671	0.174079184	0	0	0.020852674
