Mixture	B cells	Monocytes	T cells CD4	T cells CD8	NK cells	Dendritic cells	NK T cells	Megakaryocytes
GTEX-1314G	0.104825844	0.249680521	0.235550462	0.10656135	0.070240142	0.068016162	0.01889035	0.146235168
GTEX-131XE	0.033918273	0.65074244	0.113081695	0.090250597	0.018686888	0	0.051707354	0.041612753
GTEX-131XF	0.080005783	0.621106366	0.122465631	0.104720482	0.016938636	0	0.005365613	0.04939749
GTEX-131XG	0.152849467	0.746959983	0.06361304	0.024636661	0.001617317	0	0.004522776	0.005800757
GTEX-131XH	0.144852333	0.080232185	0.023557265	0.49951692	0.123106597	0.031309719	0	0.09742498
GTEX-131XW	0.123625813	0.274267976	0	0.38065516	0.061908958	0	0.095472021	0.064070073
GTEX-131YS	0.259539108	0	0.119089684	0.259530545	0.214250752	0.114375867	0	0.033214044
GTEX-132AR	0.061399273	0.690120434	0.114984781	0.082061507	0.020370073	0	0.003750838	0.027313094
GTEX-132NY	0.109521031	0.257346776	0	0.45987414	0.088584108	0.005517072	0.05878566	0.020371213
GTEX-132Q8	0.081035561	0.282928803	0.139099832	0.067049962	0.159494341	0.041103611	0.096092464	0.133195425
GTEX-132QS	0.046194405	0.901183177	0	0.02080441	0.001367658	0	0.019220205	0.011230145
GTEX-1339X	0.193272058	0.763953035	0	0.012298802	0.001928086	0	0.0174991	0.01104892
GTEX-1399R	0.181120173	0.304835962	0.302945123	0.189010306	0.005552573	0.011586584	0	0.004949279
GTEX-1399S	0.059820027	0.768289196	0.099382314	0.041984812	0.006769115	0	0.001288014	0.022466522
GTEX-1399U	0.10161585	0.842108626	0.010392875	0.029714274	0.003079412	0	0.000632246	0.012456717
GTEX-139D8	0.113829057	0.510016804	0.088271898	0.12032186	0.138639507	0	0.01190524	0.017015635
GTEX-139T6	0.037371304	0.861726142	0.028830009	0	0.001024868	0	0.02177993	0.049267747
GTEX-139T8	0.105596639	0.229631304	0.255880414	0.040702387	0.141020031	0.092675323	0.072704514	0.061789387
GTEX-139TS	0.116992413	0.39432951	0.163110974	0.127584027	0.079383203	0.060343049	0.019239051	0.039017773
GTEX-139TT	0.219863179	0.039232274	0	0.493943194	0.181523545	0.018553896	0	0.046883911
GTEX-139TU	0.109159675	0.334016613	0.119242636	0.31402563	0.048302195	0.013161056	0.055596596	0.0064956
GTEX-139UW	0.189431609	0.367047244	0.110718972	0.171594137	0.038398508	0.033419537	0.015944645	0.073445348
GTEX-13CF2	0.316394967	0.111663469	0	0.364497176	0.055946038	0.005086896	0.085435075	0.06097638
